Month,AirQualityStation,average_no2,index
2018-06,STA-BA0048A,0.2728405797101449,38
2018-07,STA-BA0048A,0.2881741572893258,38
2018-08,STA-BA0048A,0.35667601681626926,38
2018-09,STA-BA0048A,0.42362318839130436,38
2018-10,STA-BA0048A,0.5985714282417582,38
2018-11,STA-BA0048A,,38
2018-12,STA-BA0048A,,38
2018-01,STA-BETB001,0.24446085672082718,40
2018-02,STA-BETB001,0.2737563884156729,40
2018-03,STA-BETB001,0.33812869822485203,40
2018-04,STA-BETB001,0.2754740061162079,40
2018-05,STA-BETB001,0.25052748885586923,40
2018-06,STA-BETB001,0.20145161290322583,40
2018-07,STA-BETB001,0.1868491124260355,40
2018-08,STA-BETB001,0.2000373692077728,40
2018-09,STA-BETB001,0.2085015290519878,40
2018-10,STA-BETB001,0.2591654357163959,40
2018-11,STA-BETB001,0.2754517611026034,40
2018-12,STA-BETB001,0.2437481590574374,40
2018-01,STA-BETB004,0.23659817351598172,41
2018-02,STA-BETB004,0.2525601374570447,41
2018-03,STA-BETB004,0.2676401179941003,41
2018-04,STA-BETB004,0.20101837667687594,41
2018-05,STA-BETB004,0.17946824224519942,41
2018-06,STA-BETB004,0.14336079077429983,41
2018-07,STA-BETB004,0.1427846975088968,41
2018-08,STA-BETB004,0.137292899408284,41
2018-09,STA-BETB004,0.16912844036697247,41
2018-10,STA-BETB004,0.19868975903614458,41
2018-11,STA-BETB004,0.26694489465153975,41
2018-12,STA-BETB004,0.2600149700598802,41
2018-01,STA-BETB006,,42
2018-02,STA-BETB006,,42
2018-03,STA-BETB006,,42
2018-04,STA-BETB006,,42
2018-05,STA-BETB006,,42
2018-06,STA-BETB006,,42
2018-07,STA-BETB006,,42
2018-08,STA-BETB006,,42
2018-09,STA-BETB006,0.5010034305317324,42
2018-10,STA-BETB006,0.3450236220472441,42
2018-11,STA-BETB006,0.37293956043956045,42
2018-12,STA-BETB006,,42
2018-01,STA-BETN043,0.262274741506647,43
2018-02,STA-BETN043,0.32334179357021997,43
2018-03,STA-BETN043,0.3222855029585799,43
2018-04,STA-BETN043,0.5067554855172414,43
2018-05,STA-BETN043,0.3631185182962963,43
2018-06,STA-BETN043,0.346707316875,43
2018-07,STA-BETN043,0.24799410023598822,43
2018-08,STA-BETN043,0.4228581974889217,43
2018-09,STA-BETN043,0.48080915996946566,43
2018-10,STA-BETN043,0.41923929082717876,43
2018-11,STA-BETN043,0.5522699382668712,43
2018-12,STA-BETN043,1.0264191162205882,43
2018-01,STA-BETN060,0.2396556473829201,44
2018-02,STA-BETN060,0.2917592592592593,44
2018-03,STA-BETN060,0.2635664819944598,44
2018-04,STA-BETN060,0.21438122332859177,44
2018-05,STA-BETN060,0.1946905089408528,44
2018-06,STA-BETN060,0.15892142857142857,44
2018-07,STA-BETN060,0.15920907840440165,44
2018-08,STA-BETN060,0.15565517241379312,44
2018-09,STA-BETN060,0.18844109195402298,44
2018-10,STA-BETN060,0.20508953168044078,44
2018-11,STA-BETN060,0.299480056980057,44
2018-12,STA-BETN060,0.27380689655172413,44
2018-01,STA-BETN063,0.20190672153635117,45
2018-02,STA-BETN063,0.27041411042944785,45
2018-03,STA-BETN063,0.23270027624309392,45
2018-04,STA-BETN063,0.1911150568181818,45
2018-05,STA-BETN063,0.17977209944751382,45
2018-06,STA-BETN063,0.13865576102418206,45
2018-07,STA-BETN063,0.14630041724617524,45
2018-08,STA-BETN063,0.1512723521320495,45
2018-09,STA-BETN063,0.1836221590909091,45
2018-10,STA-BETN063,0.19086896551724136,45
2018-11,STA-BETN063,0.26001420454545454,45
2018-12,STA-BETN063,0.24587465564738292,45
2018-01,STA-BETN070,0.24820441988950276,46
2018-02,STA-BETN070,0.3372824427480916,46
2018-03,STA-BETN070,0.28034674063800274,46
2018-04,STA-BETN070,0.21827169274537694,46
2018-05,STA-BETN070,0.18625864453665283,46
2018-06,STA-BETN070,0.15326676176890155,46
2018-07,STA-BETN070,0.14697095435684648,46
2018-08,STA-BETN070,0.14825068870523414,46
2018-09,STA-BETN070,0.1909857142857143,46
2018-10,STA-BETN070,0.21133425034387898,46
2018-11,STA-BETN070,0.2903347578347578,46
2018-12,STA-BETN070,0.27228209188589536,46
2018-01,STA-BETN085,0.15140193370165744,47
2018-02,STA-BETN085,0.20521406727828748,47
2018-03,STA-BETN085,0.18680939226519336,47
2018-04,STA-BETN085,0.14372688477951637,47
2018-05,STA-BETN085,0.14089689265536723,47
2018-06,STA-BETN085,0.11155890804597701,47
2018-07,STA-BETN085,0.11236613603473226,47
2018-08,STA-BETN085,0.12957223001402526,47
2018-09,STA-BETN085,0.15369132290184923,47
2018-10,STA-BETN085,0.15954607977991747,47
2018-11,STA-BETN085,0.18905000000000002,47
2018-12,STA-BETN085,0.16755172413793104,47
2018-01,STA-BETN132,0.1935408022130014,48
2018-02,STA-BETN132,0.2678975535168196,48
2018-03,STA-BETN132,0.25047520661157024,48
2018-04,STA-BETN132,0.1987660485021398,48
2018-05,STA-BETN132,0.17688186813186815,48
2018-06,STA-BETN132,0.142485754985755,48
2018-07,STA-BETN132,0.14200553250345782,48
2018-08,STA-BETN132,0.14592032967032967,48
2018-09,STA-BETN132,0.17339971550497868,48
2018-10,STA-BETN132,0.1871270718232044,48
2018-11,STA-BETN132,0.23064722617354197,48
2018-12,STA-BETN132,0.22857241379310345,48
2018-01,STA-BETR001,0.3085250737315634,49
2018-02,STA-BETR001,0.37945670626485567,49
2018-03,STA-BETR001,0.34108727810650885,49
2018-04,STA-BETR001,0.2931054365568369,49
2018-05,STA-BETR001,0.2737075332348597,49
