Country,Year,Sampling Point Id,Air Quality Station EoI Code,Longitude,Latitude,Altitude,Air Quality Station Area,Air Quality Station Type,AirQualityStation
Sweden,2024.0,SPO-SE12097_00007_100,SE12097,13.50142,59.38059,107.0,urban,background,STA-SE12097
Sweden,2024.0,SPO-SE12100_00008_100,SE12100,13.49559,59.37959,47.6,urban,traffic,STA-SE12100
Sweden,2024.0,SPO-SE135020_00005_100,SE135020,13.49806,59.37819,47.0,urban,traffic,STA-SE135020
Sweden,2024.0,SPO-SE155530_00005_100,SE155530,16.55046,59.60987,23.0,urban,traffic,STA-SE155530
Sweden,2024.0,SPO-SE0003A_00005_100,SE0003A,18.04866,59.31722,24.0,urban,traffic,STA-SE0003A
Sweden,2024.0,SPO-SE0022A_00001_100,SE0022A,18.05781,59.31601,58.0,urban,background,STA-SE0022A
Sweden,2024.0,SPO-SE0027A_00005_100,SE0027A,18.05825,59.34083,8.0,urban,traffic,STA-SE0027A
Sweden,2024.0,SPO-SE0066A_00005_100,SE0066A,18.63131,59.83238,24.0,rural-regional,background,STA-SE0066A
Sweden,2024.0,SPO-SE0071A_00005_100,SE0071A,17.92332,59.4422,34.0,urban,traffic,STA-SE0071A
Sweden,2024.0,SPO-SE0072A_00005_100,SE0072A,17.62108,59.19811,28.0,urban,traffic,STA-SE0072A
Sweden,2024.0,SPO-SE0087A_00005_100,SE0087A,18.00439,59.32553,16.0,urban,traffic,STA-SE0087A
Sweden,2024.0,SPO-SE09457_00008_100,SE09457,17.8587,59.34976,2.0,urban,background,STA-SE09457
Sweden,2024.0,SPO-SE156417_00005_100,SE156417,17.64631,59.85709,15.0,urban,traffic,STA-SE156417
Sweden,2024.0,SPO-SE157992_00005_100,SE157992,18.03702,59.3405,17.0,urban,traffic,STA-SE157992
Sweden,2024.0,SPO-SE157993_00005_100,SE157993,18.00404,59.3133,37.0,urban,traffic,STA-SE157993
Sweden,2024.0,SPO-SE159403_00005_100,SE159403,18.07714,59.3146,26.0,urban,traffic,STA-SE159403
Sweden,2024.0,SPO-SE159404_00005_100,SE159404,17.6376,59.86052,23.0,urban,background,STA-SE159404
Sweden,2024.0,SPO-SE18638_00008_100,SE18638,18.04866,59.31722,24.0,urban,background,STA-SE18638
Sweden,2024.0,SPO-SE18639_00008_100,SE18639,18.04905,59.31709,24.0,urban,traffic,STA-SE18639
Sweden,2024.0,SPO-SE18640_00008_100,SE18640,18.05825,59.34083,8.0,urban,background,STA-SE18640
Sweden,2024.0,SPO-SE18641_00008_100,SE18641,18.05849,59.34108,8.0,urban,traffic,STA-SE18641
Sweden,2024.0,SPO-SE36244_00008_100,SE36244,17.83833,59.23706,28.0,urban,traffic,STA-SE36244
