Country,Year,Sampling Point Id,Air Quality Station EoI Code,Longitude,Latitude,Altitude,Air Quality Station Area,Air Quality Station Type,AirQualityStation
Hungary,2021,SPO-HU0042A_00007_100,HU0042A,19.1461,47.5419,122.0,Urban,Background,STA-HU0042A
Hungary,2024,SPO-HU0023A_00007_100,HU0023A,21.6244,47.5133,111.0,Urban,Background,STA-HU0023A
Hungary,2007,SPO-HU0035A_00007_100,HU0035A,16.575,47.6919,241.0,urban,Background,STA-HU0035A
Hungary,2008,SPO-HU0039A_00007_100,HU0039A,18.7461,47.79,122.0,urban,Background,STA-HU0039A
Hungary,2008,SPO-HU0040A_00007_100,HU0040A,16.8389,47.6719,113.0,rural,Background,STA-HU0040A
Hungary,2022,SPO-HU0033A_00007_100,HU0033A,18.9361,46.9761,215.0,Urban,Industrial,STA-HU0033A
Hungary,2011,SPO-HU0029A_00007_100,HU0029A,18.2111,46.0803,200.0,suburban,Background,STA-HU0029A
Hungary,2008,SPO-HU0037A_00007_100,HU0037A,17.5567,47.1053,248.0,suburban,Background,STA-HU0037A
Hungary,2004,SPO-HU0026A_00007_100,HU0026A,20.6164,48.2472,155.0,urban,Background,STA-HU0026A
Hungary,2016,SPO-HU0034A_00007_100,HU0034A,17.9011,47.0911,274.0,Suburban,Background,STA-HU0034A
Hungary,2012,SPO-HU0038A_00007_100,HU0038A,20.7031,48.2181,135.0,suburban,Background,STA-HU0038A
Hungary,2003,SPO-HU0028A_00007_100,HU0028A,21.7058,47.9611,115.0,urban,Traffic,STA-HU0028A
Hungary,2003,SPO-HU0027A_00007_100,HU0027A,20.79,48.1069,125.0,urban,Traffic,STA-HU0027A
Kosovo under UNSCR 1244/99,2019,SPO-XK0008A_00007_100,XK0008A,21.296,42.154,399.0,Suburban,Background,STA-XK0008A
Kosovo under UNSCR 1244/99,2023,SPO-XK0006A_00007_100,XK0006A,20.7279,42.2199,410.0,Urban,Background,STA-XK0006A
Kosovo under UNSCR 1244/99,2022,SPO-XK0002A_00007_100,XK0002A,21.1573,42.6596,583.0,Urban,Background,STA-XK0002A
Kosovo under UNSCR 1244/99,2024,SPO-XK0009A_00007_100,XK0009A,21.4604,42.4678,510.0,Urban,Background,STA-XK0009A
Lithuania,2019,SPO-LT00042_00007_101,LT00042,24.2839,55.0722,40.0,Urban,Industrial,STA-LT00042
Lithuania,2021,SPO-LT00023_00007_101,LT00023,22.3314,56.3097,67.0,Urban,Industrial,STA-LT00023
Lithuania,2016,SPO-LT00052_00007_100,LT00052,24.2897,54.0925,130.0,Rural,Background,STA-LT00052
Lithuania,2019,SPO-LT00002_00007_100,LT00002,25.2108,54.6861,170.0,Urban,Background,STA-LT00002
Lithuania,2011,SPO-LT00022_00007_101,LT00022,23.308,55.9378,122.0,urban,Traffic,STA-LT00022
Lithuania,2024,SPO-LT00012_00007_101,LT00012,24.3656,55.725,52.0,Urban,Background,STA-LT00012
Lithuania,2009,SPO-LT00041_00007_100,LT00041,23.9862,54.8951,31.0,urban,Traffic,STA-LT00041
Lithuania,1999,SPO-LT00054_00007_501,LT00054,21.0308,55.3764,5.0,rural,Background,STA-LT00054
Lithuania,2014,SPO-LT00043_00007_100,LT00043,23.9578,55.28,44.0,Urban,Industrial,STA-LT00043
Lithuania,2017,SPO-LT00044_00007_100,LT00044,23.8358,54.8836,73.0,Urban,Background,STA-LT00044
Lithuania,2010,SPO-LT00033_00007_100,LT00033,21.1795,55.69,12.0,urban,Traffic,STA-LT00033
Lithuania,2022,SPO-LT00003_00007_100,LT00003,25.2894,54.7153,119.0,Urban,Traffic,STA-LT00003
Lithuania,2024,SPO-LT00053_00007_500,LT00053,21.8869,56.0083,155.0,Rural,Background,STA-LT00053
Lithuania,2004,SPO-LT00031_00007_100,LT00031,21.1411,55.7078,6.0,urban,Traffic,STA-LT00031
Luxembourg,2015,SPO-LU0101A_00007_100,LU0101A,6.1376,49.5977,275.0,Urban,Background,STA-LU0101A
Luxembourg,2005,SPO-LU0104A_00007_100,LU0104A,5.8471,49.7318,288.0,rural,Background,STA-LU0104A
Luxembourg,2013,SPO-LU0105A_00007_100,LU0105A,6.3053,49.7223,319.0,Rural,Background,STA-LU0105A
Luxembourg,2025,SPO-LU0102A_00007_100,LU0102A,5.9769,49.505,287.0,Urban,Background,STA-LU0102A
Luxembourg,2022,SPO-LU0103A_00007_100,LU0103A,6.1783,49.9358,511.0,Rural,Background,STA-LU0103A
Malta,2007,SPO-MT00007_00007_100,MT00007,14.1972,36.0671,114.0,rural,Background,STA-MT00007
Malta,2024,SPO-MT00004_00007_100,MT00004,14.5389,35.8523,56.0,Urban,Background,STA-MT00004
Malta,2016,SPO-MT00008_00007_100,MT00008,14.4346,35.8901,86.0,Urban,Background,STA-MT00008
Malta,2010,SPO-MT00005_00007_100,MT00005,14.49,35.8958,2.0,urban,Traffic,STA-MT00005
Montenegro,2012,SPO-ME0009A_00007_100,ME0009A,18.9429,42.7812,629.0,urban,Traffic,STA-ME0009A
Netherlands,2010,SPO-NL00807_00007_101,NL00807,6.4029,52.3883,7.0,rural,Background,STA-NL00807
Netherlands,2022,SPO-NL00437_00007_101,NL00437,4.4505,51.7866,0.0,Rural,Background,STA-NL00437
Netherlands,2013,SPO-NL00131_00007_111,NL00131,5.8531,51.5405,30.0,Rural,Background,STA-NL00131
Netherlands,2014,SPO-NL00644_00007_100,NL00644,4.9233,51.9745,0.0,Rural,Background,STA-NL00644
Netherlands,2011,SPO-NL00247_00007_100,NL00247,5.3933,51.4074,22.0,urban,Background,STA-NL00247
Netherlands,2007,SPO-NL00404_00007_111,NL00404,4.2892,52.0771,2.0,urban,Background,STA-NL00404
