Country,Year,Sampling Point Id,Air Quality Station EoI Code,Longitude,Latitude,Altitude,Air Quality Station Area,Air Quality Station Type
Croatia,2019,HR_DOC_TYPE_D_SPO_465,HR0015A,13.7498,45.2912,0.0,Rural,Background
Czechia,2016,SPO.CZ_EMTPA_PM2_5_1369857,CZ0EMTP,16.6667,49.759,350.0,Urban,Background
Croatia,2016,HR_DOC_TYPE_D_SPO_795,HR0026A,16.0683,45.7148,0.0,Suburban,Background
Bosnia and Herzegovina,2025,SPO-BA0061A_06001_100,BA0061A,18.342,43.9,497.0,Urban,Background
Croatia,2020,HR_DOC_TYPE_D_SPO_471,HR0017A,15.5161,44.0211,0.0,Rural,Background
Czechia,2018,SPO.CZ_BBDNA_PM2_5_1316708,CZ0BBDN,16.6163,49.2027,225.0,Urban,Background
Czechia,2020,SPO.CZ_BBNVA_PM2_5_1369782,CZ0BBNV,16.5936,49.1981,235.0,Urban,Traffic
Belgium,2023,SPO-BETR503_06001_100,BETR503,4.4485,50.4092,135.0,Suburban,Background
Czechia,2017,SPO.CZ_MDSTM_PM2_5_1377626,CZ0MDST,16.9608,49.932,298.0,Rural,Background
Croatia,2013,HR_DOC_TYPE_D_SPO_676,HR0021A,15.9784,45.8344,0.0,Suburban,Background
Croatia,2019,HR_DOC_TYPE_D_SPO_927,HR0012A,15.6606,46.1691,0.0,Rural,Background
Bosnia and Herzegovina,2022,SPO-BA0041A_06001_100,BA0041A,18.9775,43.6616,361.0,Suburban,Background
Bulgaria,2014,SPO-BG0075A_06001_100,BG0075A,27.9157,43.2244,83.0,Urban,Background
Belgium,2016,SPO-BETR815_06001_100,BETR815,4.3328,51.2147,7.0,Suburban,Industrial
Croatia,2025,HR_DOC_TYPE_D_SPO_1018,HR0005A,14.4835,45.3208,0.0,Urban,Background
Croatia,2021,HR_DOC_TYPE_D_SPO_1011,HR0035A,16.7685,45.4856,0.0,Urban,Background
Czechia,2022,SPO.CZ_LFRTM_PM2_5_1368837,CZ0LFRT,15.0698,50.9407,366.0,Rural,Background
Croatia,2014,HR_DOC_TYPE_D_SPO_460,HR0013A,15.6098,44.8993,0.0,Rural,Background
Croatia,2023,HR_DOC_TYPE_D_SPO_941,HR0031A,14.4835,45.3208,0.0,Suburban,Background
Bosnia and Herzegovina,2023,SPO-BA0038A_06001_100,BA0038A,17.8911,44.2254,336.0,Suburban,Background
Bosnia and Herzegovina,2022,SPO-BA0063A_06001_100,BA0063A,18.334,42.714,301.0,Urban,Background
Bosnia and Herzegovina,2023,SPO-BA0043A_06001_100,BA0043A,18.3111,43.8301,498.0,Urban,Background
Czechia,2016,SPO.CZ_PKUJA_PM2_5_1337482,CZ0PKUJ,13.6185,49.722,385.0,Rural,Background
Bosnia and Herzegovina,2023,SPO-BA0029A_06001_100,BA0029A,18.4231,43.8675,630.0,Urban,Background
Czechia,2022,SPO.CZ_AHOLA_PM2_5_1668670,CZ0AHOL,14.4437,50.1088,185.0,Urban,Traffic
Czechia,2015,SPO.CZ_JKRIM_PM2_5_1005653,CZ0JKRI,16.0986,49.3836,525.0,Rural,Background
Bosnia and Herzegovina,2021,SPO-BA0044A_06001_100,BA0044A,18.6002,44.5237,215.0,Suburban,Industrial
Czechia,2024,SPO.CZ_LUHLA_PM2_5_1659405,CZ0LUHL,14.9024,50.8662,330.0,Rural,Background
Czechia,2022,SPO.CZ_BKUCA_PM2_5_1696446,CZ0BKUC,16.0858,48.8814,334.0,Rural,Background
Croatia,2023,HR_DOC_TYPE_D_SPO_1214,HR0046A,16.0683,45.7148,0.0,Suburban,Background
Czechia,2015,SPO.CZ_PPLEA_PM2_5_954059,CZ0PPLE,13.381,49.7473,306.0,Urban,Traffic
Czechia,2019,SPO.CZ_THARA_PM2_5_1366443,CZ0THAR,18.4068,49.791,260.0,Urban,Background
Czechia,2013,SPO.CZ_PPLBA_PM2_5_954079,CZ0PPLB,13.3755,49.7284,346.0,Urban,Background
Czechia,2021,SPO.CZ_TOCBA_PM2_5_1369244,CZ0TOCB,18.29,49.8398,215.0,Urban,Traffic
Czechia,2019,SPO.CZ_UDCMA_PM2_5_1337358,CZ0UDCM,14.2188,50.7742,131.0,Urban,Background
Czechia,2024,SPO.CZ_LLILA_PM2_5_1367196,CZ0LLIL,15.07,50.7551,422.0,Urban,Background
Croatia,2022,HR_DOC_TYPE_D_SPO_1028,HR0039A,18.7309,45.5577,0.0,Suburban,Background
Czechia,2024,SPO.CZ_LHVIA_PM2_5_1730632,CZ0LHVI,14.9642,50.856,451.0,Rural,Background
Czechia,2023,SPO.CZ_SMBOA_PM2_5_1283298,CZ0SMBO,14.9139,50.4286,224.0,Urban,Background
Czechia,2022,SPO.CZ_PPLVA_PM2_5_1337515,CZ0PPLV,13.4234,49.7686,348.0,Suburban,Background
Czechia,2021,SPO.CZ_TCTNA_PM2_5_1365749,CZ0TCTN,18.6097,49.749,285.0,Urban,Background
Czechia,2019,SPO.CZ_UULDA_PM2_5_1366813,CZ0UULD,13.9979,50.6831,230.0,Urban,Traffic
Bosnia and Herzegovina,2022,SPO-BA0057A_06001_100,BA0057A,17.001,43.8225,722.0,Urban,Background
Czechia,2022,SPO.CZ_ZTNVA_PM2_5_1368996,CZ0ZTNV,17.4106,49.2594,280.0,Rural,Background
Czechia,2017,SPO.CZ_TRYCA_PM2_5_1379526,CZ0TRYC,18.3773,49.8717,241.0,Urban,Background
Czechia,2022,SPO.CZ_UDROA_PM2_5_1664787,CZ0UDRO,13.4302,50.411,319.0,Rural,Industrial
Czechia,2017,SPO.CZ_TOSGM_PM2_5_1379472,CZ0TOSG,18.3611,49.5523,428.0,Rural,Background
Czechia,2016,SPO.CZ_TKARA_PM2_5_1366434,CZ0TKAR,18.5515,49.8638,238.0,Urban,Background
Czechia,2022,SPO.CZ_SKHOA_PM2_5_1508667,CZ0SKHO,15.2604,49.9505,290.0,Urban,Background
Czechia,2016,SPO.CZ_ZVMZA_PM2_5_1369063,CZ0ZVMZ,17.967,49.4721,290.0,Urban,Background
Czechia,2021,SPO.CZ_TKAVA_PM2_5_1666093,CZ0TKAV,18.5515,49.8638,238.0,Urban,Industrial
Czechia,2020,SPO.CZ_TMIZM_PM2_5_1632598,CZ0TMIZ,18.569,49.868,269.0,Rural,Background
Czechia,2017,SPO.CZ_TFMIA_PM2_5_1366118,CZ0TFMI,18.3511,49.6718,290.0,Suburban,Background
Czechia,2022,SPO.CZ_TBRSM_PM2_5_1397607,CZ0TBRS,17.4695,49.9875,534.0,Urban,Traffic
Czechia,2020,SPO.CZ_SRORA_PM2_5_1369684,CZ0SROR,15.1783,50.302,198.0,Rural,Background
Czechia,2020,SPO.CZ_TOPDA_PM2_5_1622654,CZ0TOPD,18.1652,49.8355,282.0,Urban,Traffic
Czechia,2016,SPO.CZ_TOVKA_PM2_5_1365778,CZ0TOVK,17.9095,49.945,255.0,Urban,Background
Czechia,2020,SPO.CZ_UNVDA_PM2_5_1664807,CZ0UNVD,13.1863,50.4375,650.0,Rural,Industrial
Czechia,2020,SPO.CZ_UKOSA_PM2_5_1664797,CZ0UKOS,13.8645,50.5581,410.0,Rural,Industrial
Czechia,2021,SPO.CZ_MNMAM_PM2_5_1635452,CZ0MNMA,17.0097,49.9557,321.0,Rural,Background
Czechia,2021,SPO.CZ_MSMSA_PM2_5_1492985,CZ0MSMS,16.9785,49.9716,325.0,Urban,Background
Czechia,2022,SPO.CZ_UVSLA_PM2_5_850135,CZ0UVSL,13.2407,50.4648,736.0,Rural,Industrial
Czechia,2020,SPO.CZ_BBMSA_PM2_5_542043,CZ0BBMS,16.6425,49.2082,213.0,Urban,Traffic
Denmark,2022,SPO-DK0059A_06001_100,DK0059A,9.915,57.0453,5.0,Urban,Traffic
Finland,2016,SPO-FI00893_06001_100,FI00893,27.6754,60.53,4.0,Rural,Background
Czechia,2021,SPO.CZ_BBNAA_PM2_5_1315111,CZ0BBNA,16.627,49.1888,214.0,Urban,Background
Czechia,2022,SPO.CZ_BBMAA_PM2_5_1621221,CZ0BBMA,16.6138,49.2161,250.0,Urban,Background
Finland,2021,SPO-FI00721_06001_100,FI00721,23.7694,61.4931,91.0,Urban,Traffic
